Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Num Detections	Num AID+	Num AID+: CD20+	Num AID+: CD20+: CD4+	Num AID+: CD4+	Num AID+: Ki67+	Num AID+: Ki67+: CD20+	Num AID+: Ki67+: CD20+: CD4+	Num AID+: Ki67+: CD4+	Num CD20+	Num CD20+: CD4+	Num CD21+	Num CD21+: AID+	Num CD21+: AID+: CD20+	Num CD21+: AID+: CD20+: CD4+	Num CD21+: AID+: CD4+	Num CD21+: AID+: Ki67+	Num CD21+: AID+: Ki67+: CD20+	Num CD21+: AID+: Ki67+: CD20+: CD4+	Num CD21+: AID+: Ki67+: CD4+	Num CD21+: CD20+	Num CD21+: CD20+: CD4+	Num CD21+: CD4+	Num CD21+: Ki67+: CD20+	Num CD4+	Num Ki67+	Num Ki67+: CD20+	Num Ki67+: CD20+: CD4+	Num Ki67+: CD4+	Num PNAd+	Num PNAd+: AID+: CD20+: CD4+	Num PNAd+: CD20+: CD4+	Num PNAd+: CD21+: AID+: CD20+: CD4+	Num PNAd+: CD21+: AID+: CD4+	Num PNAd+: CD21+: AID+: Ki67+: CD20+: CD4+	Num PNAd+: CD21+: AID+: Ki67+: CD4+	Num PNAd+: CD4+	Area µm^2	Perimeter µm
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	d107130d-d1ea-4d74-bfd0-cb6c278b5bff	Annotation		LA	Root object (Image)	Polygon	9687.8	5273.6	24	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	1	0	0	0	0	0	0	0	0	0	0	1876.5	270.03
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	4bdef7c0-e704-44ca-b0d4-d3a215849a63	Annotation		LA	Root object (Image)	Polygon	14855.8	5642	17	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1640	222.38
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	85b1a177-d74d-4f29-99d1-2b9d811ca092	Annotation		LA	Root object (Image)	Geometry	14993.2	5669.5	236	0	1	0	0	0	0	0	0	51	4	0	0	0	0	0	0	0	0	0	0	0	0	0	76	4	1	0	0	2	0	0	0	0	0	0	0	22723.4	1659.9
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	ac822e9b-fe0b-410d-9321-ec3db2321b6a	Annotation		LA	Root object (Image)	Polygon	8928.5	6195	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	1576.9	357.39
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	30b99db6-1a2b-4af0-8f57-fe7fb9a77feb	Annotation		LA	Root object (Image)	Polygon	9131.2	6351	44	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	1	0	2	0	0	0	0	0	0	0	0	4983.1	857.75
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	97674405-a584-43a5-93a2-02c84e6c7ccd	Annotation		LA	Root object (Image)	Geometry	8994.5	6363.1	76	0	0	0	0	0	0	0	0	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	1	0	2	0	0	0	0	0	0	0	0	6828.1	818.04
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	b449a24b-f50f-4786-a0ab-34c5ab81d35b	Annotation		LA	Root object (Image)	Polygon	9010.5	6444.5	33	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	3027.7	468.58
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	ff6d3194-1871-4154-9d90-1a2840ca51c1	Annotation		LA	Root object (Image)	Polygon	8227.7	6468.2	136	0	0	0	0	0	0	0	0	58	3	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	3	0	1	0	0	0	0	0	0	0	0	10675.8	1254.9
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	d7772c2c-84bc-4dff-852a-5e4d2e3e26a1	Annotation		CD21+	Root object (Image)	Geometry	8217.5	6478.8	84	0	0	0	0	0	0	0	0	9	0	3	19	25	1	0	0	0	0	0	19	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	7159.2	563.89
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	6df06f15-78f5-4a75-8222-5dacb20fcd62	Annotation		LA	Root object (Image)	Geometry	4231.3	6823.1	351	0	0	0	0	0	0	0	0	205	27	0	0	1	0	0	0	0	0	0	8	0	0	0	50	0	1	0	0	0	0	0	0	0	0	0	0	29535.7	2160.2
